sequence	VoyageID	Lat	LatType	Lon	LonType	Day	Month	Year	SpeciesName	Number_Whales	Vessel1	Vessel2	Ocean	Basin	DegLat	MinLat	NS	DegLong	MinLong	EW	PosType	Wording	Remarks
15260	AV05785	64.500	I	-86.750	I	11	7	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Rowes Welcome	Calf
14119	AV05785	64.000	I	-80.000	I	16	7	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	To north of Depot Id	
7305	AV05785	41.000	L	-50.000	L	10	10	1865	Sperm	2			Atlantic	North Atlantic	41	0	N	50	0	W	L:L		
14574	AV05788	62.680	I	-91.200	I	6	6	1872	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Off Marble Island	Calf
14566	AV05788	62.680	I	-91.200	I	20	6	1872	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Off Marble Island	
872	AV05808	56.000	L	143.000	L	7	6	1853	Bowhead	1			Okhotsk	North Pacific	56	0	N	143	0	E	L:L		
15518	AV05808	54.000	I	137.500	I	8	7	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	Found Dead
15574	AV05808	54.000	I	137.500	I	3	8	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15519	AV05808	54.000	I	137.500	I	6	8	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15428	AV05808	54.000	I	137.500	I	9	8	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15582	AV05808	54.000	I	137.500	I	11	8	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15575	AV05808	54.000	I	137.500	I	12	8	1853	Bowhead	2			Okhotsk	North Pacific							I:I	Shantas Region	
15622	AV05808	54.000	I	137.500	I	14	8	1853	Bowhead	3			Okhotsk	North Pacific							I:I	Shantas Region	
15608	AV05808	54.000	I	137.500	I	15	8	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15510	AV05808	54.000	I	137.500	I	20	8	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15467	AV05808	54.000	I	137.500	I	30	8	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15508	AV05808	54.000	I	137.500	I	5	9	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
15482	AV05808	54.000	I	137.500	I	8	9	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	Found Dead
15500	AV05808	54.000	I	137.500	I	10	9	1853	Bowhead	1			Okhotsk	North Pacific							I:I	Shantas Region	
5133	AV05808	-32.533	L	175.800	L	2	3	1854	Sperm	1			Pacific	South Pacific	32	32	S	175	48	E	L:L		
